"","weeks","lb_positive","ub_positive","fraction"
"54",58,0.0534754895669582,0.169005863485191,0.24075977203132
"55",59,0.0523550478488272,0.152830280634383,0.237951959699161
"56",60,0.0545616199622758,0.162211686847575,0.246966544125927
"57",61,0.0480820068491151,0.161584390213581,0.253696123470397
"58",62,0.0548622792767812,0.170419456828626,0.256799003214486
"59",63,0.0596214915893564,0.182166645441351,0.278599623346321
"60",64,0.0592271337796919,0.178201862934602,0.317912907040753
"61",65,0.061877370793396,0.176926577385183,0.273769148229889
"62",66,0.0580388288107841,0.180900468574407,0.27266029604669
"63",67,0.061561867495876,0.181115761187647,0.269848026114091
"64",68,0.056428308473455,0.172257505220649,0.306072993548887
"65",69,0.0542699074375775,0.179497667851674,0.33788871586498
"66",70,0.0585711000801961,0.188523981416621,0.341077252595382
"67",71,0.0560942510461189,0.198552010544187,0.339781563797651
"68",72,0.0493300300934885,0.187586015999034,0.343636750624154
"69",73,0.0496355930487108,0.179025133266012,0.32465000407766
"70",74,0.0565533285858493,0.18223500984024,0.359125172164079
"71",75,0.0549225224147453,0.177797949193597,0.365231374943631
"72",76,0.0598985898645122,0.178099193494786,0.335829520641829
"73",77,0.0564059869858622,0.170602319787448,0.36978721427559
"74",78,0.0543972693518613,0.178401620048356,0.394470007484205
"75",79,0.0619204164723727,0.181721639000228,0.395445564607172
"76",80,0.0620387969758028,0.173441437661252,0.406792549209087
"77",81,0.0616532773421717,0.165290757308405,0.441758967199779
"78",82,0.0578841972915197,0.160662322809815,0.446952757842853
"79",83,0.067591717953071,0.163468395521102,0.405837081714827
"80",84,0.0643727196580534,0.166708648248615,0.385108806462056
"81",85,0.06239751851226,0.176552618287344,0.405411780658516
"82",86,0.0582612708951754,0.167926945879725,0.395011900155963
"83",87,0.0567970328148467,0.170571288059204,0.384047280120914
"84",88,0.0528043771087206,0.17309288835075,0.351230656370045
"85",89,0.0529523995984078,0.176688275280364,0.36783926203405
"86",90,0.0539554334767556,0.171435824525425,0.354231770399344
"87",91,0.0566224925052149,0.182670843738307,0.376818961035177
"88",92,0.0571313851661203,0.180675151447692,0.347972106434598
"89",93,0.0512549011337561,0.171167824588975,0.377816637602735
"90",94,0.0519296627233071,0.168970526607606,0.368697048649664
"91",95,0.0538622673528463,0.170789627243063,0.37515881577356
"92",96,0.054228393197392,0.174157164912323,0.335152495446812
"93",97,0.0499170471555393,0.175271123628765,0.31852889687567
"94",98,0.0505107716688826,0.166004113153146,0.314305016200648
"95",99,0.0541604176560223,0.155598826844011,0.379640542228821
"96",100,0.0562317914808124,0.161479899183418,0.394491455958695
"97",101,0.0590483225406613,0.173405122744423,0.421760022186375
"98",102,0.0530175721882062,0.168291537262065,0.382761046545246
"99",103,0.0575462101294152,0.173153171154667,0.357139225614939
"100",104,0.0510156913496266,0.168873459581392,0.342760108574997
"101",105,0.0501702973959754,0.159603677317906,0.356877905757885
"102",106,0.0565934726798782,0.165235976144954,0.406431955409578
"103",107,0.0556377013763526,0.173800989497975,0.391450525763066
"104",108,0.0528603300148881,0.167258339148398,0.404336957900831
"105",109,0.0540376450863978,0.155488494890754,0.38643594829656
