"","weeks","frac_positive","lb_positive_week","ub_positive_week","lb_positive","ub_positive"
"67",71,0.377364680153089,-0.00586981150336552,0.122847516735267,-0.00814669341937157,0.10469684431724
"68",72,0.327282668124658,0.00461285866264823,0.109152137797515,0.00278117999107892,0.0785074935591084
"69",73,0.324986331328595,-0.000162062020468451,0.105777407510062,-0.0166128433582133,0.0934909781942952
"70",74,0.305303444505194,-0.0122805194215253,0.125598422784322,-0.0128230054831512,0.100208543700861
"71",75,0.319956260251504,-0.00909239631952661,0.121876034838676,-0.00785265378463082,0.0945573573380469
"72",76,0.344013121924549,0.0324273083247891,0.102553278157692,0.023918258989792,0.0843199082524127
"73",77,0.354838709677419,0.00429115648667685,0.121044397550276,-0.00341192663118706,0.111251720401918
"74",78,0.353745215965008,0.0338914761310103,0.104855041878035,0.0308865486197742,0.0774699094702512
"75",79,0.382285401858939,0.0579095853235942,0.103878113040432,0.0505278008196283,0.0883616149278485
"76",80,0.365882996172772,0.0406265269989428,0.114269266138269,0.0299199433906997,0.101793515758271
"77",81,0.355276107162384,0.0156356043984735,0.106502334762888,0.00554216147610001,0.0845283458184857
"78",82,0.340404592673592,-0.0144965042530863,0.141933816938761,-0.0161571949759971,0.121793189504954
"79",83,0.327282668124658,0.0709211585085195,0.0789528038595525,0.0560104375179473,0.0784663483931583
"80",84,0.326189174412247,0.0319618746311202,0.1015451064255,0.0180053055782256,0.0783591142475952
"81",85,0.331000546746856,0.0278637429632149,0.108738523025569,0.011941807514616,0.0943058936418541
"82",86,0.329469655549481,-0.00250906209302479,0.108116831195156,-0.00181109690118831,0.09958443729767
"83",87,0.326735921268453,0.0171943244011254,0.117222728190303,0.0130368534746561,0.1011262417564
"84",88,0.330453799890651,0.0466168836550846,0.100464302190965,0.0338688099727404,0.0971890990031211
"85",89,0.344341170038272,0.0417528673848803,0.111988074706738,0.0476143287210876,0.11052014664861
"86",90,0.32750136686714,0.046570753701939,0.0797075474895686,0.0438329529639138,0.0810775937796128
"87",91,0.403061782394751,0.0336675601463885,0.102821938886926,0.0492497118761361,0.0921261774338741
"88",92,0.417714598141061,0.0619558542889966,0.0846730358801559,0.071612559646984,0.0648116109860756
"89",93,0.413121924548934,0.00962425916015562,0.112708687407848,0.0236330579117343,0.102382333261528
"90",94,0.419682886823401,0.0358558425233939,0.0568971496040135,0.0413659608539551,0.108973797837667
"91",95,0.418698742482231,0.0371844144453203,0.0594665503883353,0.0381565639758477,0.118394076165199
"92",96,0.393001640240569,0.0372735714812312,0.103117944726831,0.0391251664496495,0.101551907391441
"93",97,0.37944231820667,0.0115264440230352,0.0842000326875045,0.00960837272868045,0.11943592897839
"94",98,0.371350464734828,0.0333058697606811,0.0588951083365277,0.0340437320843309,0.0921823438118791
"95",99,0.387096774193548,0.0320759664573332,0.0500263367818177,0.0212666851540287,0.113489162263775
"96",100,0.448332422088573,0.0207563553807284,0.0818522461596159,0.0161328061273554,0.124921608522493
"97",101,0.469218151995626,0.037748707233252,0.0900070106300124,0.0358586616662696,0.120470689733526
"98",102,0.562602515035539,0.0536027250602753,0.118106084966912,0.0431289388229265,0.12313715670868
"99",103,0.508474576271186,0.0647847467815671,0.0867152342406102,0.0441654418768817,0.0985711092149224
"100",104,0.426571897211591,0.0356437235309547,0.0945559207991908,0.0339968509366928,0.0898590963607202
