"","weeks","lb_positive","ub_positive"
"55",59,-0.0470176304459416,0.102129608439396
"56",60,-0.055030927535615,0.103747579210115
"57",61,-0.0639319909495911,0.109261531619497
"58",62,-0.0577441192068892,0.102363098571367
"59",63,-0.0748616728501394,0.0783026240758507
"60",64,-0.0315658930533281,0.0971089375172136
"61",65,-0.024903022169116,0.0999989645490888
"62",66,-0.0330130463291149,0.131373472567918
"63",67,-0.0273368376015837,0.122934938638117
"64",68,-0.0043754649751923,0.117876116124181
"65",69,-0.00325623949817251,0.115896136052105
"66",70,-0.00390380883127672,0.121145948209944
"67",71,-0.00605594946101761,0.125264500700796
"68",72,0.0206744545723473,0.0921689339302682
"69",73,-0.000578487847103756,0.125950608226974
"70",74,0.0112960069341679,0.132460781929283
"71",75,0.0253406490251911,0.119067041158375
"72",76,0.0580789130316508,0.116766920430587
"73",77,0.0311855877840915,0.144030944249447
"74",78,0.0574394413038754,0.12640311887581
"75",79,0.0936648365641819,0.115291786049025
"76",80,0.0827947624509699,0.125829174485933
"77",81,0.0647302615791645,0.107281061809355
"78",82,0.00181484160072743,0.160000613584276
"79",83,0.0958204096349092,0.0971530647944041
"80",84,0.0540352905777679,0.106189222252546
"81",85,0.0695538638595374,0.103010521440699
"82",86,0.0298006121531056,0.120157771881532
"83",87,0.0874921291335348,0.0949456507796635
"84",88,0.0809513382915295,0.128641727359533
"85",89,0.065773640013572,0.156433662986357
"86",90,0.0751527650469069,0.126731424943898
"87",91,0.0946348330081423,0.120814869141088
"88",92,0.10644043068745,0.120837300350754
"89",93,0.0799560123357416,0.130975001252094
"90",94,0.0793401124348743,0.161730443223415
"91",95,0.0982441306164752,0.137094636612881
"92",96,0.0686597866926881,0.15301014117445
"93",97,0.0640885017436723,0.126151358872497
"94",98,0.0768162180583577,0.132842778482725
"95",99,0.0892315153351412,0.118448144801607
"96",100,0.071996081621316,0.15303138024298
"97",101,0.0791205832856616,0.154979778336429
"98",102,0.097443892428685,0.138180546407873
"99",103,0.0892741487793892,0.133763917485108
"100",104,0.0879272858335256,0.140423806298176
"101",105,0.0940250254821721,0.137644131034543
"102",106,0.097138553266508,0.138869247464785
"103",107,0.110631434073387,0.132313697941339
"104",108,0.10311621966996,0.135642348992698
"105",109,0.11735133527672,0.133141360366804
"106",110,0.066045141842375,0.15646061143864
"107",111,0.103304443325258,0.141253937788072
"108",112,0.10282644250201,0.124241605220626
"109",113,0.112375257208753,0.126259257706253
"110",114,0.0875478257926195,0.131132628974229
"111",115,0.0837910292831651,0.10567200826428
"112",116,0.120598421523258,0.0917888790846338
"113",117,0.103756265754404,0.108245630640654
"114",118,0.117963458682308,0.0968553085977188
"115",119,0.109397971008618,0.124140673973264
"116",120,0.0591341754952638,0.128451792021826
"117",121,0.0760779094016329,0.117930414503228
"118",122,0.0514578411415924,0.138851849191017
"119",123,0.0491252191512313,0.14018159837127
"120",124,0.0482278576601048,0.137772485529844
"121",125,0.0529436441945947,0.152011299489353
"122",126,0.0529648275618338,0.119392919140603
"123",127,0.0167324399570102,0.144851163657503
"124",128,0.0523815237027336,0.11860319584681
"125",129,0.0663501822035438,0.1026621414731
"126",130,0.0552570855083223,0.112711292082411
"127",131,0.0481142882823446,0.153882754566279
"128",132,0.0667827041084448,0.109878792806355
"129",133,0.0627526182020582,0.127362357687911
"130",134,0.0837067538024797,0.115724530235357
"131",135,0.104071386333048,0.0760911915430681
"132",136,0.0353944655331334,0.142921188042893
"133",137,0.0465270297825459,0.124075399058214
"134",138,0.0361941691613641,0.129197090644658
"135",139,0.0465765708221309,0.10214704284473
"136",140,0.104064126421558,0.0880362363918713
"137",141,0.0598080558554734,0.078061448601567
"138",142,0.0902725421465381,0.0857414205119022
"139",143,0.0590750388697817,0.0900587073164466
"140",144,0.0847428027108666,0.070215101594502
"141",145,0.056430818869971,0.0964827652576025
"142",146,0.0618123858339161,0.11319006181575
"143",147,0.0645327098824363,0.0749774856957796
"144",148,0.0105886090848012,0.1206268792485
"145",149,0.0510567356019085,0.0971966332806353
"146",150,0.0636213061458878,0.087636135161522
"147",151,0.0675018728651758,0.0995785023921101
"148",152,0.0410155943013856,0.111773187887188
"149",153,0.0926621744869723,0.0824158363121264
"150",154,0.134979956703074,0.0578493142312688
"151",155,0.0280683803579898,0.0946264656818269
"152",156,0.0295305706145072,0.0904016316646985
"153",157,-0.022895751056545,0.0955656076351412
"154",158,0.029482157693668,0.0785234658990009
"155",159,0.0308618717388055,0.0972080945619756
"156",160,0.0488527745541924,0.0549927282368012
"157",161,0.0278963459161763,0.0768622767249399
"158",162,0.0451236699328254,0.0743201409690418
"159",163,0.0593929746928707,0.0735219679702058
"160",164,0.0321873197942006,0.0765910360317274
"161",165,0.0836750060501665,0.0564951484253764
"162",166,-0.00143784141859449,0.085440047840784
"163",167,0.0589443233356096,0.0916631362143003
