"","weeks","bound","group"
"116",120,1.91153168796953,0
"117",121,1.93475400454372,0
"118",122,1.90932915083325,0
"119",123,1.90415974376716,0
"120",124,1.87665276673036,0
"121",125,1.89540450660564,0
"122",126,1.85768452464535,0
"123",127,1.85390853962084,0
"124",128,1.87502262831067,0
"125",129,1.86418198095559,0
"126",130,1.83918193044504,0
"127",131,1.85423040358248,0
"128",132,1.90089533529244,0
"129",133,1.9023719131181,0
"130",134,1.89029741977919,0
"131",135,1.87700035166176,0
"132",136,1.8751461750156,0
"133",137,1.92271825531837,0
"134",138,1.93098923129356,0
"135",139,1.93640835966862,0
"136",140,1.9471380456496,0
"137",141,1.93497680589538,0
"138",142,1.935278932012,0
"139",143,1.93239760876818,0
"140",144,1.95833647960567,0
"141",145,1.94506680893273,0
"142",146,1.95754461151817,0
"143",147,1.93469138949789,0
"144",148,1.93292227847221,0
"145",149,1.95870462037779,0
"146",150,1.96375890666673,0
"147",151,1.98018805775837,0
"148",152,1.95283384786548,0
"149",153,1.97290023106049,0
"150",154,1.98309123712073,0
"151",155,1.97972608591953,0
"152",156,1.92907094571495,0
"153",157,1.96871350546606,0
"154",158,1.97178221579235,0
"155",159,1.9679006280384,0
"156",160,1.95451466685868,0
"157",161,1.96170686952681,0
"158",162,1.94328997174635,0
"159",163,1.96889069469822,0
"160",164,1.97536842443045,0
"161",165,1.93920376282509,0
"162",166,1.97579043877104,0
"163",167,2.02975731804313,0
"164",168,2.00438692401477,0
"165",169,1.99506647368284,0
"166",170,2.02363680201063,0
"167",171,2.00165086965649,0
"168",172,2.00851557380852,0
"169",173,2.00634633240453,0
"170",174,2.04204384507607,0
"171",175,1.99938126662159,0
"172",176,2.01269055051496,0
"173",177,2.04027845058046,0
"174",178,1.99573838084516,0
"175",179,2.00861764567352,0
"176",180,1.98661321329324,0
"177",181,2.00001478452395,0
"178",182,2.00078486383654,0
"179",183,2.03625347665918,0
"180",184,2.02246114794084,0
"181",185,2.03378795224946,0
"182",186,2.0266607731585,0
"183",187,1.99819941754454,0
"184",188,1.96683940284999,0
"185",189,1.97607202309808,0
"186",190,2.00766683507628,0
"187",191,1.94266799607464,0
"188",192,1.95603557985324,0
"189",193,1.94988246256528,0
"190",194,2.02621320658616,0
"191",195,1.94649457147289,0
"192",196,1.96214847639481,0
"193",197,1.95184413853364,0
"194",198,1.99422084095075,0
"195",199,1.9922072694652,0
"196",200,1.98002534290137,0
"197",201,2.02853692123155,0
"198",202,1.99820553649724,0
"199",203,2.03340510951795,0
"200",204,1.99977190761662,0
"201",205,1.98100671358454,0
