"","weeks","bound","group"
"134",138,1.92888658591203,0
"135",139,1.93461205143213,0
"136",140,1.92564938153193,0
"137",141,1.93804269838321,0
"138",142,1.92154837908652,0
"139",143,1.94842020337624,0
"140",144,1.92453953866734,0
"141",145,1.92548611448971,0
"142",146,1.92166651207345,0
"143",147,1.92116613477491,0
"144",148,1.92956563653021,0
"145",149,1.92399108554613,0
"146",150,1.92976050998259,0
"147",151,1.9273522298991,0
"148",152,1.93481984241602,0
"149",153,1.94469312836126,0
"150",154,1.94221662251445,0
"151",155,1.94186456272828,0
"152",156,1.95852169031929,0
"153",157,1.9577250084312,0
"154",158,1.95079232124879,0
"155",159,1.95806746399505,0
"156",160,1.95982719139378,0
"157",161,1.96001135834631,0
"158",162,1.95996491764137,0
"159",163,1.96459537612237,0
"160",164,1.9677724747438,0
"161",165,1.96566856144806,0
"162",166,1.9632494633929,0
"163",167,1.95396420815256,0
"164",168,1.96696764525082,0
"165",169,1.9732144354982,0
"166",170,1.96377205845318,0
"167",171,1.96596459752459,0
"168",172,1.96378826557912,0
"169",173,1.96732744518932,0
"170",174,1.96702606066517,0
"171",175,1.97671945368688,0
"172",176,1.97436615900323,0
"173",177,1.97234043911125,0
"174",178,1.98221582479793,0
"175",179,1.97857942448379,0
"176",180,1.98466576124421,0
"177",181,1.98343125099746,0
"178",182,1.98175741300498,0
"179",183,1.98413095996348,0
"180",184,1.9922060763555,0
"181",185,1.98450377472588,0
"182",186,1.98475921352541,0
"183",187,1.99400669102868,0
"184",188,1.99891422154274,0
"185",189,1.99292663514592,0
"186",190,1.99349367337722,0
"187",191,2.00461722187017,0
"188",192,2.0060483481145,0
"189",193,2.00134314661346,0
"190",194,1.98152015893753,0
"191",195,2.00056326470752,0
"192",196,2.00275591451347,0
"193",197,2.01030161325642,0
"194",198,2.00219499859502,0
"195",199,2.00699952830231,0
"196",200,2.004636166778,0
"197",201,1.99670101477359,0
"198",202,1.9995288874295,0
"199",203,1.98711595864611,0
"200",204,1.98976719904625,0
"201",205,2.00202097224393,0
"202",206,2.00039630934506,0
"203",207,1.99069394856688,0
"204",208,1.99248316674489,0
"205",5,1.86906585797665,1
"206",6,1.88301662059602,1
"207",7,1.86074449644193,1
"208",8,1.86680312800261,1
"209",9,1.85090038442533,1
"210",10,1.83589794639052,1
"211",11,1.83431921203126,1
"212",12,1.85344664279371,1
"213",13,1.85045099571642,1
"214",14,1.85146612778717,1
"215",15,1.81736356178584,1
"216",16,1.82834715167569,1
"217",17,1.81605471900027,1
"218",18,1.83929070623122,1
"219",19,1.8365621030263,1
"220",20,1.81648212880834,1
"221",21,1.82310749557255,1
"222",22,1.83053147657791,1
