"","weeks","lb_positive","ub_positive","fraction"
"127",131,0.0614308160477275,0.128683130436699,0.511404855949849
"128",132,0.0525528480496302,0.117973886137299,0.426127097140008
"129",133,0.0495580632976827,0.121599149796924,0.39120011808716
"130",134,0.0542165076284852,0.126684742225166,0.441874194893348
"131",135,0.0534848126970538,0.125732386040583,0.43412616090967
"132",136,0.0472711859708552,0.119776766309497,0.40438844623423
"133",137,0.0541106032729171,0.116658033396165,0.406636257089422
"134",138,0.0563083020255744,0.115949257182771,0.416286315880542
"135",139,0.0603349145116288,0.124882473998063,0.406909715840047
"136",140,0.0588494372566058,0.124777059542506,0.379350476830003
"137",141,0.0513136454234896,0.120363719779477,0.381395087932539
"138",142,0.0576668264240564,0.133171043062123,0.40621197433791
"139",143,0.0636975476438078,0.138720278298434,0.429029337148329
"140",144,0.0568226186304694,0.125411228766243,0.422260538051997
"141",145,0.0539567261563284,0.125247600086952,0.420163380083971
"142",146,0.0663857162352372,0.129496491361633,0.471973789710315
"143",147,0.0618375089840618,0.121931846615833,0.483764864623158
"144",148,0.0562244514459985,0.122635674941594,0.508348247608014
"145",149,0.0567125994345728,0.121090296717395,0.489369571086316
"146",150,0.0529950907147033,0.118030129686089,0.450658047684241
"147",151,0.0530841836552636,0.12081221991686,0.490313100938353
"148",152,0.0543228635231022,0.130736144183361,0.43522122128043
"149",153,0.0570153644198066,0.117387615947113,0.462042385820321
"150",154,0.0552579703039974,0.118910825942838,0.477372475373886
"151",155,0.056338054932631,0.110244120307436,0.46321804645747
"152",156,0.0561952952154821,0.133599771922683,0.4110653338072
"153",157,0.0557555727076968,0.125714131054651,0.397057019211102
"154",158,0.0536842754786711,0.121956263679211,0.387599676445765
"155",159,0.0540743441169905,0.120787760713265,0.41961324028259
"156",160,0.0528883728403744,0.125370144751313,0.427339393712299
"157",161,0.0560838763388772,0.13242257997877,0.42757616449964
"158",162,0.0566695890875616,0.123064947137032,0.441396309165133
"159",163,0.0660423079541494,0.133799895521916,0.428823519047556
"160",164,0.0573524142718339,0.131018857531858,0.391496810942255
"161",165,0.0617968842600529,0.136514364696145,0.455498577174435
"162",166,0.0588360979781501,0.133022331425663,0.425516766147845
"163",167,0.0620877571381218,0.136245569443395,0.448423524631438
"164",168,0.0571229940761295,0.135010484625426,0.418782900589091
"165",169,0.0553253165550086,0.136403478405491,0.401644295552738
"166",170,0.0516002571027501,0.128817508142375,0.401153369877961
"167",171,0.0519745568230094,0.125701895988288,0.399377596722771
"168",172,0.046977951851144,0.120198541987239,0.432101952824044
"169",173,0.050761709327911,0.131128753376039,0.41499702051364
"170",174,0.0517719539035396,0.126707007830989,0.417394333247046
"171",175,0.0520495381871759,0.121908466064288,0.405493101522795
"172",176,0.051000772978909,0.125867057979275,0.379787019755569
"173",177,0.0448760397914006,0.134585537149178,0.315281224516988
"174",178,0.0503897541896384,0.130911301886596,0.388290763664265
"175",179,0.052033553837582,0.128262440793288,0.389772600860186
"176",180,0.0433081899239017,0.115707676334621,0.367541309949374
"177",181,0.0509381351187365,0.131380937590473,0.391093503439009
"178",182,0.0485715335108441,0.122115250882498,0.357407822194413
"179",183,0.0460813894572236,0.124695500052048,0.341378738590233
"180",184,0.0508750618310902,0.130252360886765,0.339131008500488
"181",185,0.051741045062536,0.127895556421728,0.358365204440455
"182",186,0.0512776885022575,0.121050249473836,0.351495642004074
"183",187,0.0559602125361954,0.128062406146767,0.37310074800749
"184",188,0.0602214315269273,0.123651547578147,0.376773877978503
"185",189,0.055363635114402,0.132224041077831,0.349668053190371
"186",190,0.0609101659897158,0.137736108116336,0.359889641126282
"187",191,0.0568596045908084,0.135486747459559,0.353475686485452
"188",192,0.0570475204048117,0.131721002147588,0.390563684060677
"189",193,0.0614915409232851,0.146531921400361,0.36733138145022
"190",194,0.0610772111639146,0.143287670710666,0.403824577792515
"191",195,0.0675224435301073,0.137841743155393,0.438591958495189
"192",196,0.0624330211779041,0.134680447593551,0.442871362396548
"193",197,0.0537791429550213,0.131957354277284,0.398108254364611
"194",198,0.0549055006489953,0.14401279579405,0.379533716059998
"195",199,0.0560129176756657,0.129137027153144,0.400045254698252
"196",200,0.0545556062156103,0.125891055372888,0.415644381166053
"197",201,0.0483576861291233,0.129204986277414,0.375161701475588
"198",202,0.0495430412831302,0.136861749730828,0.368955378936976
"199",203,0.053870416975426,0.140304489030417,0.414136927019479
"200",204,0.0529856552864709,0.138185637853933,0.429483134694876
"201",205,0.0509342911928443,0.140936427755665,0.429886280992005
"202",206,0.0585515835978644,0.137177479233303,0.433560171868182
"203",207,0.050867289429753,0.133100299937794,0.437218178319394
"204",208,0.0605031479650272,0.13648661530327,0.44391188349308
